COUNTRY_NAME                   YEAR_END  TREATMENT_FAILURE_PP  SAMPLE_SIZE  LATITUDE     LONGITUDE    
"Ghana"                        2015      0.00                  57          6.450233     -0.337189    
"Ghana"                        2015      0.00                  99          6.450233     -0.337189    
"Ghana"                        2015      1.90                  54          10.733429    -1.478663    
"Ghana"                        2015      3.30                  61          6.453226     -1.583848    
"Ghana"                        2015      6.60                  127         5.131510     -1.279474    
"Ghana"                        2015      8.50                  59          5.131510     -1.279474    
"Ghana"                        2016      0.00                  20          5.550000     -0.200000    
"Ghana"                        2016      0.00                  45          10.060074    -2.509891    
"Ghana"                        2016      0.00                  51          7.334941     -2.312303    
"Ghana"                        2016      0.00                  58          7.151851     0.473829    
"Ghana"                        2016      0.00                  60          5.131510     -1.279474    
"Ghana"                        2016      1.70                  59          6.450233     -0.337189    
"Ghana"                        2016      3.30                  60          5.131510     -1.279474    
"Ghana"                        2017      0.00                  47          7.151851     0.473829    
"Ghana"                        2017      0.00                  55          10.733429    -1.478663    
"Ghana"                        2017      0.00                  62          6.450233     -0.337189    
"Ghana"                        2017      0.00                  92          5.131510     -1.279474    
"Ghana"                        2017      1.10                  95          6.450233     -0.337189    
"Ghana"                        2017      1.80                  55          10.733429    -1.478663    
"Ghana"                        2017      3.60                  56          10.733429    -1.478663    
"Ghana"                        2017      8.70                  46          5.301832     -1.993047    
"Ghana"                        2019      0.00                  55          5.131510     -1.279474    
"Ghana"                        2019      0.00                  78          6.450233     -0.337189    
"Ghana"                        2019      9.70                  83          5.131510     -1.279474    
"Guinea"                       2016      0.00                  93          9.437747     -13.093489   
"Guinea"                       2016      0.00                  100         9.437747     -13.093489   
"Guinea"                       2016      0.90                  102         11.316667    -12.283333   
"Guinea"                       2016      1.00                  98          11.316667    -12.283333   
"Guinea"                       2017      1.00                  101         10.035243    -13.516844   
"Guinea"                       2017      1.00                  104         7.750000     -8.816700    
"Guinea"                       2017      2.00                  99          7.750000     -8.816700    
"Guinea"                       2017      2.90                  100         10.035243    -13.516844   
"Guinea"                       2018      4.20                  48          9.437747     -13.093489   
"Guinea"                       2018      7.60                  121         11.316667    -12.283333   
"Guinea"                       2018      7.60                  144         9.437747     -13.093489   
"Guinea"                       2018      7.70                  26          11.316667    -12.283333   
"Guinea"                       2019      4.20                  48          9.437747     -13.093489   
"Guinea"                       2019      7.60                  121         11.316667    -12.283333   
"Guinea"                       2019      7.60                  144         9.437747     -13.093489   
"Guinea"                       2019      7.70                  26          11.316667    -12.283333   
